drug_id,trade_name,scientific_name,price,package,supplier,available,last_updated
850,VIDI3 50000 IU Cap,each capsule contains 50000IU Vitamin D3 (cholecalciferol),98,20 Cap,National Pharmaceutical and Herbs,yes,2026-04-15
1150,NOVODEXON SYRUP,Dexamethasone (Sodium Phosphate) 0.5mg/5 ml,26,100 ml,Beit Jala,yes,2026-04-14
1197,ZYDEX B CREAM,Fusidic acid         2%Betamethsone (Valerate) 0.10%,30,15 g,Beit Jala,yes,2026-04-14
1199,ZYDEX HC CREAM,Fusidic Acid 2%Hydrocortisone Acetate 1%,30,15 g,Beit Jala,yes,2026-04-14
1201,ZYDEX OPHTHALMIC GEL,Fusidic Acid 1%,20,5 g,Beit Jala,yes,2026-04-14
1195,Xaprine Tab 10mg,Cyclobenzaprine HCl 10 mg/tablet,30,30 tab,Beit Jala,yes,2026-04-14
1191,VIVAXIN 250 mg,Levofloxacin (hemihydrate) 250 mg/tablet,35,7 Tab,Beit Jala,yes,2026-04-14
1192,VIVAXIN 500 mg,Levofloxacin (hemihydrate) 500 mg/tablet,60,7 Tab,Beit Jala,yes,2026-04-14
1193,VIVAXIN 750 mg 5 Tab,Levofloxacin (hemihydrate) 750 mg/tablet,65,5 Tab,Beit Jala,yes,2026-04-14
4568,VILDA 50MG TABLETS,VILDAGLIPTIN,34,28 Tablets,Beit Jala,yes,2026-04-14
4480,VIRULAN CREAM 1.5 GM,Penciclovir,20,1.5 g/tube,Beit Jala,yes,2026-04-14
4481,VIRULAN CREAM 5 G,PENCICLOVIR,45,5g/tube,Beit Jala,yes,2026-04-14
1188,UROCLEAN,Sodium Benzoate 2.00%Hexamine 5.00%,30,125 g,Beit Jala,yes,2026-04-14
3640,VEOXGEL 2.32% EMULGEL,Diclofenac Diethylamine 2.32%,30,Emulgel 50G TUBE,Beit Jala,yes,2026-04-14
1183,TINASIL CREAM,Terbinafine (HCl) 1%,24,15 g,Beit Jala,yes,2026-04-14
1184,TINASIL SOL.,Terbinafine (HCl) 1%,30,30 ml,Beit Jala,yes,2026-04-14
1186,TINASIL TABLET 250,Terbinafine (HCl) 250mg/tab.,24,10 tab,Beit Jala,yes,2026-04-14
